service_id,service_name,package_id,price,service_duration,warranty_id,segmentation_type_id
1470,Package,451,758,120,NULL,1152
1471,Package,452,938,160,NULL,1152
1472,Package,453,1097,180,NULL,1152
1473,Package,454,1357,210,NULL,1152
1474,Package,455,419,60,NULL,1152
1475,Package,456,519,80,NULL,1152
1476,Package,457,569,90,NULL,1152
1477,Package,458,1059,180,NULL,1153
1478,Package,459,1479,180,NULL,1153
1479,Package,460,599,90,NULL,1153
1480,Package,461,349,120,NULL,1153
1481,Package,462,98,30,NULL,1154
1482,Package,463,49,15,NULL,1154
1483,Package,464,89,15,NULL,1154
1484,Package,465,89,15,NULL,1154
1485,Package,466,99,15,NULL,1154
1486,Package,467,399,60,NULL,1154
1487,Package,468,99,15,NULL,1154
1488,Package,469,249,15,NULL,1154
1489,Package,470,899,120,NULL,1154
1490,Package,471,399,30,NULL,1154
1491,Package,472,2999,240,NULL,1155
1492,Package,473,4999,240,NULL,1155
1493,Package,474,5999,240,NULL,1155
1494,Package,475,2999,240,NULL,1156
1495,Package,476,4049,240,NULL,1156
1496,Package,477,899,120,NULL,1157
1497,Package,478,799,120,NULL,1157
1498,Package,479,949,120,NULL,1157
1499,Package,480,899,120,NULL,1157
1500,Package,481,1499,150,NULL,1157
1501,Package,482,1797,180,NULL,1157
1502,Package,483,1897,180,NULL,1157
1503,Package,484,2296,180,NULL,1157
1504,Package,485,1099,120,NULL,1157
1505,Package,486,1499,150,NULL,1157
1506,Package,487,249,120,NULL,1157
1507,Package,488,599,120,NULL,1157
1508,Package,489,4799,240,NULL,1158
1509,Package,490,7299,300,NULL,1158
1510,Package,491,4899,240,NULL,1159
1511,Package,492,6249,300,NULL,1159
1512,Package,493,299,40,NULL,1160
1513,Package,494,349,60,NULL,1160
1514,Package,495,699,60,NULL,1160
1515,Package,496,399,40,NULL,1160
1516,Package,497,599,60,NULL,1160
1517,Package,498,499,60,NULL,1160
1518,Package,499,299,45,NULL,1160
1519,Package,500,499,120,NULL,1161
1520,Package,501,149,15,NULL,1161
1521,Package,502,399,90,NULL,1162
1522,Package,503,299,120,NULL,1163
1523,Package,504,399,90,NULL,1163
